#Name	Mass	R	v	a
alpha	1	9.62121	-0.00650878	-5.80779e-06
alpha	1	9.61468	-0.0065669	-5.81569e-06
alpha	1	9.60808	-0.0066251	-5.82367e-06
alpha	1	9.60143	-0.00668337	-5.83174e-06
alpha	1	9.59472	-0.00674173	-5.8399e-06
alpha	1	9.58795	-0.00680017	-5.84815e-06
alpha	1	9.58113	-0.00685869	-5.85649e-06
alpha	1	9.57424	-0.0069173	-5.86491e-06
alpha	1	9.5673	-0.00697599	-5.87343e-06
alpha	1	9.56029	-0.00703477	-5.88204e-06
alpha	1	9.55323	-0.00709363	-5.89074e-06
alpha	1	9.54611	-0.00715259	-5.89953e-06
alpha	1	9.53893	-0.00721162	-5.90841e-06
alpha	1	9.53169	-0.00727075	-5.91739e-06
alpha	1	9.5244	-0.00732997	-5.92646e-06
alpha	1	9.51704	-0.00738928	-5.93563e-06
alpha	1	9.50962	-0.00744869	-5.94489e-06
alpha	1	9.50215	-0.00750818	-5.95425e-06
alpha	1	9.49461	-0.00756777	-5.9637e-06
alpha	1	9.48702	-0.00762746	-5.97325e-06
alpha	1	9.47936	-0.00768724	-5.98291e-06
alpha	1	9.47165	-0.00774711	-5.99266e-06
alpha	1	9.46387	-0.00780709	-6.0025e-06
alpha	1	9.45604	-0.00786716	-6.01246e-06
alpha	1	9.44814	-0.00792734	-6.02251e-06
alpha	1	9.44019	-0.00798762	-6.03266e-06
alpha	1	9.43217	-0.00804799	-6.04292e-06
alpha	1	9.4241	-0.00810847	-6.05328e-06
alpha	1	9.41596	-0.00816906	-6.06374e-06
alpha	1	9.40777	-0.00822975	-6.07432e-06
alpha	1	9.39951	-0.00829055	-6.08499e-06
alpha	1	9.39119	-0.00835145	-6.09578e-06
alpha	1	9.38281	-0.00841246	-6.10667e-06
alpha	1	9.37437	-0.00847358	-6.11767e-06
alpha	1	9.36587	-0.00853482	-6.12878e-06
alpha	1	9.35731	-0.00859616	-6.14e-06
alpha	1	9.34868	-0.00865762	-6.15134e-06
alpha	1	9.34	-0.00871919	-6.16278e-06
alpha	1	9.33125	-0.00878087	-6.17434e-06
alpha	1	9.32244	-0.00884267	-6.18602e-06
alpha	1	9.31357	-0.00890459	-6.19781e-06
alpha	1	9.30464	-0.00896663	-6.20971e-06
alpha	1	9.29564	-0.00902879	-6.22174e-06
alpha	1	9.28659	-0.00909107	-6.23388e-06
alpha	1	9.27747	-0.00915347	-6.24614e-06
alpha	1	9.26828	-0.00921599	-6.25852e-06
alpha	1	9.25904	-0.00927864	-6.27102e-06
alpha	1	9.24973	-0.00934141	-6.28365e-06
alpha	1	9.24036	-0.00940431	-6.2964e-06
alpha	1	9.23093	-0.00946734	-6.30928e-06
alpha	1	9.22143	-0.0095305	-6.32228e-06
alpha	1	9.21187	-0.00959378	-6.33541e-06
alpha	1	9.20225	-0.0096572	-6.34866e-06
alpha	1	9.19257	-0.00972076	-6.36205e-06
alpha	1	9.18282	-0.00978445	-6.37556e-06
alpha	1	9.173	-0.00984827	-6.38921e-06
alpha	1	9.16312	-0.00991223	-6.403e-06
alpha	1	9.15318	-0.00997633	-6.41691e-06
alpha	1	9.14318	-0.0100406	-6.43096e-06
alpha	1	9.13311	-0.0101049	-6.44515e-06
alpha	1	9.12297	-0.0101695	-6.45948e-06
alpha	1	9.11277	-0.0102341	-6.47395e-06
alpha	1	9.10251	-0.010299	-6.48855e-06
alpha	1	9.09218	-0.0103639	-6.5033e-06
alpha	1	9.08179	-0.010429	-6.5182e-06
alpha	1	9.07133	-0.0104943	-6.53324e-06
alpha	1	9.06081	-0.0105597	-6.54842e-06
alpha	1	9.05022	-0.0106252	-6.56376e-06
alpha	1	9.03956	-0.010691	-6.57924e-06
alpha	1	9.02884	-0.0107568	-6.59487e-06
alpha	1	9.01805	-0.0108229	-6.61066e-06
alpha	1	9.0072	-0.010889	-6.6266e-06
alpha	1	8.99628	-0.0109554	-6.64269e-06
alpha	1	8.9853	-0.0110219	-6.65895e-06
alpha	1	8.97424	-0.0110886	-6.67536e-06
alpha	1	8.96313	-0.0111554	-6.69193e-06
alpha	1	8.95194	-0.0112224	-6.70867e-06
alpha	1	8.94069	-0.0112896	-6.72556e-06
alpha	1	8.92937	-0.0113569	-6.74263e-06
alpha	1	8.91798	-0.0114244	-6.75986e-06
alpha	1	8.90652	-0.0114921	-6.77726e-06
alpha	1	8.895	-0.01156	-6.79483e-06
alpha	1	8.88341	-0.011628	-6.81257e-06
alpha	1	8.87175	-0.0116962	-6.83049e-06
alpha	1	8.86002	-0.0117646	-6.84858e-06
alpha	1	8.84823	-0.0118332	-6.86685e-06
alpha	1	8.83636	-0.011902	-6.88531e-06
alpha	1	8.82443	-0.0119709	-6.90394e-06
alpha	1	8.81243	-0.01204	-6.92276e-06
alpha	1	8.80036	-0.0121094	-6.94177e-06
alpha	1	8.78821	-0.0121789	-6.96096e-06
alpha	1	8.776	-0.0122486	-6.98034e-06
alpha	1	8.76372	-0.0123185	-6.99992e-06
alpha	1	8.75137	-0.0123886	-7.01969e-06
alpha	1	8.73895	-0.0124589	-7.03966e-06
alpha	1	8.72646	-0.0125294	-7.05983e-06
alpha	1	8.7139	-0.0126001	-7.08019e-06
alpha	1	8.70127	-0.012671	-7.10077e-06
alpha	1	8.68856	-0.0127421	-7.12155e-06
alpha	1	8.67579	-0.0128134	-7.14253e-06
alpha	1	8.66294	-0.0128849	-7.16373e-06
alpha	1	8.65003	-0.0129567	-7.18514e-06
alpha	1	8.63704	-0.0130286	-7.20677e-06
alpha	1	8.62398	-0.0131008	-7.22862e-06
alpha	1	8.61084	-0.0131732	-7.25069e-06
alpha	1	8.59764	-0.0132458	-7.27298e-06
alpha	1	8.58436	-0.0133187	-7.2955e-06
alpha	1	8.571	-0.0133918	-7.31824e-06
alpha	1	8.55758	-0.013465	-7.34122e-06
alpha	1	8.54408	-0.0135386	-7.36444e-06
alpha	1	8.53051	-0.0136123	-7.38789e-06
alpha	1	8.51686	-0.0136863	-7.41158e-06
alpha	1	8.50314	-0.0137606	-7.43552e-06
alpha	1	8.48935	-0.013835	-7.4597e-06
alpha	1	8.47548	-0.0139098	-7.48414e-06
alpha	1	8.46154	-0.0139847	-7.50883e-06
alpha	1	8.44752	-0.0140599	-7.53377e-06
alpha	1	8.43342	-0.0141354	-7.55897e-06
alpha	1	8.41925	-0.0142111	-7.58444e-06
alpha	1	8.40501	-0.0142871	-7.61017e-06
alpha	1	8.39069	-0.0143633	-7.63617e-06
alpha	1	8.37629	-0.0144398	-7.66244e-06
alpha	1	8.36181	-0.0145166	-7.68899e-06
alpha	1	8.34726	-0.0145936	-7.71583e-06
alpha	1	8.33263	-0.0146709	-7.74294e-06
alpha	1	8.31793	-0.0147485	-7.77034e-06
alpha	1	8.30314	-0.0148263	-7.79804e-06
alpha	1	8.28828	-0.0149044	-7.82603e-06
alpha	1	8.27334	-0.0149828	-7.85432e-06
alpha	1	8.25832	-0.0150615	-7.88291e-06
alpha	1	8.24322	-0.0151405	-7.91182e-06
alpha	1	8.22805	-0.0152197	-7.94103e-06
alpha	1	8.21279	-0.0152993	-7.97056e-06
alpha	1	8.19746	-0.0153792	-8.00041e-06
alpha	1	8.18204	-0.0154593	-8.03058e-06
alpha	1	8.16654	-0.0155398	-8.06109e-06
alpha	1	8.15097	-0.0156205	-8.09193e-06
alpha	1	8.13531	-0.0157016	-8.12311e-06
alpha	1	8.11957	-0.015783	-8.15463e-06
alpha	1	8.10375	-0.0158647	-8.1865e-06
alpha	1	8.08785	-0.0159467	-8.21872e-06
alpha	1	8.07187	-0.0160291	-8.2513e-06
alpha	1	8.0558	-0.0161118	-8.28425e-06
alpha	1	8.03965	-0.0161948	-8.31756e-06
alpha	1	8.02342	-0.0162781	-8.35125e-06
alpha	1	8.0071	-0.0163618	-8.38532e-06
alpha	1	7.9907	-0.0164458	-8.41978e-06
alpha	1	7.97422	-0.0165302	-8.45462e-06
alpha	1	7.95765	-0.0166149	-8.48987e-06
alpha	1	7.94099	-0.0167	-8.52551e-06
alpha	1	7.92426	-0.0167854	-8.56157e-06
alpha	1	7.90743	-0.0168712	-8.59804e-06
alpha	1	7.89052	-0.0169574	-8.63493e-06
alpha	1	7.87352	-0.0170439	-8.67226e-06
alpha	1	7.85644	-0.0171308	-8.71001e-06
alpha	1	7.83927	-0.0172181	-8.74821e-06
alpha	1	7.82201	-0.0173058	-8.78685e-06
alpha	1	7.80467	-0.0173939	-8.82595e-06
alpha	1	7.78723	-0.0174823	-8.86552e-06
alpha	1	7.76971	-0.0175712	-8.90555e-06
alpha	1	7.7521	-0.0176604	-8.94606e-06
alpha	1	7.7344	-0.0177501	-8.98706e-06
alpha	1	7.71661	-0.0178402	-9.02855e-06
alpha	1	7.69872	-0.0179307	-9.07053e-06
alpha	1	7.68075	-0.0180216	-9.11303e-06
alpha	1	7.66269	-0.0181129	-9.15605e-06
alpha	1	7.64453	-0.0182047	-9.19959e-06
alpha	1	7.62629	-0.0182969	-9.24366e-06
alpha	1	7.60795	-0.0183896	-9.28828e-06
alpha	1	7.58952	-0.0184827	-9.33345e-06
alpha	1	7.57099	-0.0185763	-9.37918e-06
alpha	1	7.55237	-0.0186703	-9.42548e-06
alpha	1	7.53366	-0.0187648	-9.47236e-06
alpha	1	7.51485	-0.0188597	-9.51984e-06
alpha	1	7.49595	-0.0189552	-9.56791e-06
alpha	1	7.47695	-0.0190511	-9.6166e-06
alpha	1	7.45785	-0.0191475	-9.66591e-06
alpha	1	7.43866	-0.0192444	-9.71585e-06
alpha	1	7.41937	-0.0193418	-9.76643e-06
alpha	1	7.39999	-0.0194397	-9.81767e-06
alpha	1	7.3805	-0.0195382	-9.86957e-06
alpha	1	7.36092	-0.0196371	-9.92216e-06
alpha	1	7.34124	-0.0197366	-9.97543e-06
alpha	1	7.32146	-0.0198366	-1.00294e-05
alpha	1	7.30157	-0.0199372	-1.00841e-05
alpha	1	7.28159	-0.0200383	-1.01395e-05
alpha	1	7.26151	-0.02014	-1.01957e-05
alpha	1	7.24132	-0.0202422	-1.02526e-05
alpha	1	7.22103	-0.0203451	-1.03103e-05
alpha	1	7.20064	-0.0204485	-1.03688e-05
alpha	1	7.18014	-0.0205524	-1.04281e-05
alpha	1	7.15954	-0.020657	-1.04882e-05
alpha	1	7.13884	-0.0207622	-1.05491e-05
alpha	1	7.11803	-0.020868	-1.06109e-05
alpha	1	7.09711	-0.0209744	-1.06735e-05
alpha	1	7.07609	-0.0210815	-1.0737e-05
